source_type,participant,measure,error
human,PT_01,orientation error (degree),0.7548514604568481
human,PT_01,orientation error (degree),2.9305107593536377
human,PT_01,orientation error (degree),0.4747775197029114
human,PT_01,orientation error (degree),2.8193893432617188
human,PT_01,orientation error (degree),2.469261646270752
human,PT_01,orientation error (degree),2.8708534240722656
human,PT_01,orientation error (degree),4.321371555328369
human,PT_01,orientation error (degree),4.462385177612305
human,PT_01,orientation error (degree),5.106146812438965
human,PT_01,orientation error (degree),5.888959884643555
human,PT_01,orientation error (degree),4.713015079498291
human,PT_01,orientation error (degree),16.556344985961914
human,PT_01,orientation error (degree),12.319488525390623
human,PT_01,orientation error (degree),14.752744674682615
human,PT_01,orientation error (degree),15.492743492126465
human,PT_01,orientation error (degree),15.024999618530272
human,PT_01,orientation error (degree),14.538930892944336
human,PT_01,orientation error (degree),13.043696403503418
human,PT_01,orientation error (degree),14.19002914428711
human,PT_01,orientation error (degree),12.416366577148438
human,PT_01,orientation error (degree),11.48656940460205
human,PT_01,orientation error (degree),12.90677547454834
human,PT_01,orientation error (degree),13.003203392028809
human,PT_01,orientation error (degree),13.363744735717772
human,PT_01,orientation error (degree),11.683629035949709
human,PT_01,orientation error (degree),13.38170051574707
human,PT_01,orientation error (degree),15.241186141967772
human,PT_01,orientation error (degree),12.009812355041504
human,PT_01,orientation error (degree),16.876441955566406
human,PT_01,orientation error (degree),13.43427848815918
human,PT_01,orientation error (degree),13.127774238586426
human,PT_01,orientation error (degree),13.149948120117188
human,PT_01,orientation error (degree),13.580228805541992
human,PT_01,orientation error (degree),14.065224647521973
human,PT_01,orientation error (degree),13.954429626464844
human,PT_01,orientation error (degree),12.271154403686523
human,PT_01,orientation error (degree),17.112398147583008
human,PT_01,orientation error (degree),14.477996826171877
human,PT_01,orientation error (degree),17.096628189086914
human,PT_01,orientation error (degree),15.571075439453123
human,PT_01,orientation error (degree),14.871607780456545
human,PT_01,orientation error (degree),14.698196411132812
human,PT_01,orientation error (degree),16.542388916015625
human,PT_01,orientation error (degree),16.68743324279785
human,PT_01,orientation error (degree),17.57239532470703
human,PT_01,orientation error (degree),17.958805084228516
human,PT_01,orientation error (degree),18.73575019836425
human,PT_01,orientation error (degree),16.295774459838867
human,PT_01,orientation error (degree),16.20779037475586
human,PT_01,orientation error (degree),19.50813865661621
human,PT_01,orientation error (degree),17.699342727661133
human,PT_01,orientation error (degree),18.375507354736328
human,PT_01,orientation error (degree),16.738710403442383
human,PT_01,orientation error (degree),21.68192481994629
human,PT_01,orientation error (degree),14.106843948364258
human,PT_01,orientation error (degree),14.21794891357422
human,PT_01,orientation error (degree),14.696419715881348
human,PT_01,orientation error (degree),16.476774215698242
human,PT_01,orientation error (degree),17.794530868530273
human,PT_01,orientation error (degree),18.913789749145508
human,PT_01,orientation error (degree),14.90090560913086
human,PT_01,orientation error (degree),16.997468948364258
human,PT_01,orientation error (degree),17.25874900817871
human,PT_01,orientation error (degree),19.327098846435547
human,PT_01,orientation error (degree),16.49706268310547
human,PT_01,orientation error (degree),18.448341369628903
human,PT_01,orientation error (degree),18.13865089416504
human,PT_01,orientation error (degree),9.028958320617676
human,PT_01,orientation error (degree),12.955001831054688
human,PT_01,orientation error (degree),7.441178321838379
human,PT_01,orientation error (degree),10.47966480255127
human,PT_01,orientation error (degree),8.275261878967285
human,PT_01,orientation error (degree),11.638617515563965
human,PT_01,orientation error (degree),10.495051383972168
human,PT_01,orientation error (degree),11.024409294128418
human,PT_01,orientation error (degree),9.021905899047852
human,PT_01,orientation error (degree),9.518987655639648
human,PT_01,orientation error (degree),9.63912582397461
human,PT_01,orientation error (degree),9.661209106445312
human,PT_01,orientation error (degree),9.295001029968262
human,PT_01,orientation error (degree),10.699542999267578
human,PT_01,orientation error (degree),13.936063766479492
human,PT_01,orientation error (degree),12.553297996520996
human,PT_01,orientation error (degree),11.495278358459473
human,PT_01,orientation error (degree),11.096397399902344
human,PT_01,orientation error (degree),12.108022689819336
human,PT_01,orientation error (degree),13.842737197875977
human,PT_01,orientation error (degree),13.97121524810791
human,PT_01,orientation error (degree),10.95062255859375
human,PT_01,orientation error (degree),12.972326278686523
human,PT_01,orientation error (degree),10.478388786315918
human,PT_01,orientation error (degree),9.876730918884276
human,PT_01,orientation error (degree),12.274398803710938
human,PT_01,orientation error (degree),6.613815307617188
human,PT_01,orientation error (degree),11.579084396362305
human,PT_01,orientation error (degree),12.617151260375977
human,PT_01,orientation error (degree),13.108603477478027
human,PT_01,orientation error (degree),12.051427841186523
human,PT_01,orientation error (degree),13.582090377807615
human,PT_01,orientation error (degree),12.130111694335938
human,PT_01,orientation error (degree),14.449583053588867
human,PT_01,orientation error (degree),10.00791072845459
human,PT_01,orientation error (degree),6.930586814880371
human,PT_01,orientation error (degree),10.502397537231444
human,PT_01,orientation error (degree),8.784337997436523
human,PT_01,orientation error (degree),14.609207153320312
human,PT_01,orientation error (degree),14.401551246643066
human,PT_01,orientation error (degree),11.86823558807373
human,PT_01,orientation error (degree),12.810405731201172
human,PT_01,orientation error (degree),12.155990600585938
human,PT_01,orientation error (degree),11.379961967468262
human,PT_01,orientation error (degree),11.023981094360352
human,PT_01,orientation error (degree),10.455604553222656
human,PT_01,orientation error (degree),8.445966720581055
human,PT_01,orientation error (degree),12.502223014831545
human,PT_01,orientation error (degree),9.696228981018066
human,PT_01,orientation error (degree),11.387263298034668
human,PT_01,orientation error (degree),11.558717727661133
human,PT_01,orientation error (degree),9.664994239807127
human,PT_01,orientation error (degree),6.935169696807861
human,PT_01,orientation error (degree),12.972782135009766
human,PT_01,orientation error (degree),14.214221000671388
human,PT_01,orientation error (degree),10.655601501464844
