condition,measure,observed,estimated
force loading,force (N),2.582634211,2.369223833
force loading,force (N),2.360084772,2.384443521
force loading,force (N),2.416609049,2.138956547
force loading,force (N),2.437211514,2.149770737
force loading,force (N),2.273763418,2.04489994
force loading,force (N),2.328089237,2.150374889
force loading,force (N),2.275961399,1.96011579
force loading,force (N),2.174856186,2.199943304
force loading,force (N),2.174856186,1.892330766
force loading,force (N),2.061552763,2.027822971
force loading,force (N),2.0591259,2.06853056
force loading,force (N),1.972308278,2.03266263
force loading,force (N),1.933907986,2.034771681
force loading,force (N),2.032240152,1.93647778
force loading,force (N),1.811077118,1.893864989
force loading,force (N),1.811077118,1.760575056
force loading,force (N),1.780449271,1.725531578
force loading,force (N),1.811077118,1.580130696
force loading,force (N),1.780449271,1.460677147
force loading,force (N),1.63095057,1.446848035
force loading,force (N),1.702938676,1.529851317
force loading,force (N),1.723368764,1.582095385
force loading,force (N),1.643167615,1.43188107
force loading,force (N),1.609347701,1.302850246
force loading,force (N),1.565247774,1.199954748
force loading,force (N),1.565247774,1.225856304
force loading,force (N),1.46969378,1.225389361
force loading,force (N),1.529705882,1.248632669
force loading,force (N),1.532970905,1.259417176
force loading,force (N),1.552417517,1.250761151
force loading,force (N),1.360146999,1.129003644
force loading,force (N),1.529705882,1.135306954
force loading,force (N),1.431782126,1.075613499
force loading,force (N),1.435269952,0.97930491
force loading,force (N),1.435269952,1.040477753
force loading,force (N),1.431782126,1.034161806
force loading,force (N),1.330413461,1.070163131
force loading,force (N),1.349073648,1.101753235
force loading,force (N),1.252996445,1.073959708
force loading,force (N),1.349073648,1.043061376
force loading,force (N),1.330413461,1.038117051
force loading,force (N),1.374772668,1.116487265
force loading,force (N),1.374772668,1.12605381
force loading,force (N),1.268857837,1.138721466
force loading,force (N),1.187434196,1.100370526
force loading,force (N),1.081665397,1.107187629
force loading,force (N),1.256980538,1.023679733
force loading,force (N),1.374772668,1.039834738
force loading,force (N),1.345362425,1.066318393
force loading,force (N),1.122497201,1.061192751
force loading,force (N),1.345362425,0.971966207
force loading,force (N),1.224744916,0.999543548
force loading,force (N),1.170469999,0.923003554
force loading,force (N),1.303840518,0.806509972
force loading,force (N),1.22065556,0.856716931
force loading,force (N),1.204159498,0.876069725
force loading,force (N),1.22065556,0.86116308
force loading,force (N),1.131370902,0.879995048
force loading,force (N),1.22065556,0.904393733
force loading,force (N),1.22065556,0.917828441
force loading,force (N),1.063014627,0.918747842
force loading,force (N),1.063014627,0.894842803
force loading,force (N),1.280624866,0.859319985
force loading,force (N),1.063014627,0.811147034
force loading,force (N),1.067707777,0.864655554
force loading,force (N),1.067707777,0.853280306
force loading,force (N),0.921954453,0.863232315
force loading,force (N),0.948683262,0.820895374
force loading,force (N),0.854400456,0.84394747
force loading,force (N),0.721110284,0.827115715
force loading,force (N),0.591607988,0.757053435
force loading,force (N),0.316227764,0.837625861
force loading,force (N),0.100000001,0.846738696
force loading,force (N),0.141421363,0.819820285
force loading,force (N),0.100000001,0.66809231
force loading,force (N),0,0.560341895
force loading,force (N),0.100000001,0.560756445
force loading,force (N),0.141421363,0.63739574
force loading,force (N),0,0.604537904
force loading,force (N),0,0.61732173
force loading,force (N),0.100000001,0.573520243
force loading,force (N),0.100000001,0.54226476
force loading,force (N),0.200000003,0.495559275
force loading,force (N),0,0.484762043
force loading,force (N),0.100000001,0.499821097
force loading,force (N),0,0.520186365
force loading,force (N),0.100000001,0.467191637
force loading,force (N),0.100000001,0.488116056
force loading,force (N),0.100000001,0.451072663
force loading,force (N),0.100000001,0.450792313
force loading,force (N),0.100000001,0.411109477
force loading,force (N),0.100000001,0.432828665
force loading,force (N),0.141421363,0.445632279
force loading,force (N),0,0.424345106
force loading,force (N),0,0.402085692
force loading,force (N),0.141421363,0.420670241
force loading,force (N),0.100000001,0.356161088
force loading,force (N),0,0.380678177
force loading,force (N),0.141421363,0.386124492
force loading,force (N),0.141421363,0.373652995
force loading,force (N),0.100000001,0.442380607
force loading,force (N),0.141421363,0.452940315
force loading,force (N),0,0.482270747
force loading,force (N),0.100000001,0.426964313
force loading,force (N),0,0.501390457
force loading,force (N),0,0.509219587
force loading,force (N),0.100000001,0.549597263
force loading,force (N),0,0.620763183
force loading,force (N),0.100000001,0.634088039
force loading,force (N),0,0.549460173
force loading,force (N),0,0.607925177
force loading,force (N),0.141421363,0.503934503
force loading,force (N),0.100000001,0.481493443
force loading,force (N),0,0.499819815
force loading,force (N),0.141421363,0.439405978
force loading,force (N),0.100000001,0.487605125
force loading,force (N),0.100000001,0.462943882
force loading,force (N),0.100000001,0.457579285
force loading,force (N),0,0.351470828
force loading,force (N),0,0.316931039
force loading,force (N),0,0.329646051
force loading,force (N),0.100000001,0.320301771
force loading,force (N),0.100000001,0.304745883
force loading,force (N),0,0.321678013
force loading,force (N),0.100000001,0.297166288
force loading,force (N),0,0.29373619
force loading,force (N),0.100000001,0.277811557
force loading,force (N),0,0.260661721
force loading,force (N),0.100000001,0.548202574
force loading,force (N),0.100000001,0.049966469
force loading,force (N),0.100000001,0.048791114
force loading,force (N),0.100000001,0.057883352
force loading,force (N),0.141421363,0.048282713
force loading,force (N),0.100000001,0.047248133
force loading,force (N),0.100000001,0.046112895
force loading,force (N),0.100000001,0.047925565
force loading,force (N),0.100000001,0.045190759
force loading,force (N),0.100000001,0.043056097
force loading,force (N),0.100000001,0.043814041
force loading,force (N),0,0.051436339
force loading,force (N),0.100000001,0.055195086
force loading,force (N),0.100000001,0.048959717
force loading,force (N),0.100000001,0.051592767
force loading,force (N),0.200000003,0.04839097
force loading,force (N),0.100000001,0.087586515
force loading,force (N),0.141421363,0.067587286
force loading,force (N),0.100000001,0.06898433
force loading,force (N),0.100000001,0.063407205
force loading,force (N),0,0.063547663
force loading,force (N),0.100000001,0.060558438
force loading,force (N),0,0.060142223
force loading,force (N),0.100000001,0.059861969
force loading,force (N),0.100000001,0.057238184
force loading,force (N),0,0.055031497
force loading,force (N),0,0.052587889
force loading,force (N),0.141421363,0.053374816
force loading,force (N),0.100000001,0.056109387
simultaneous contact,force (N),8.560373306,8.98880291
simultaneous contact,force (N),8.360622406,8.999904633
simultaneous contact,force (N),8.220097542,9.03027916
simultaneous contact,force (N),8.080842018,9.037978172
simultaneous contact,force (N),7.860661507,8.993808746
simultaneous contact,force (N),7.463912964,8.840816498
simultaneous contact,force (N),7.303424358,8.858107567
simultaneous contact,force (N),6.943342209,8.767631531
