participant,condition,stage,measure,value
PT_10,Complete framework,Perceptual Guess,position error (cm),7.532724516780812
PT_11,Complete framework,Perceptual Guess,position error (cm),8.23358239502914
PT_12,Complete framework,Perceptual Guess,position error (cm),7.255178922135289
PT_13,Complete framework,Perceptual Guess,position error (cm),7.768975210327436
PT_01,Complete framework,Error Compensation,force error (%),12.07675615925236
PT_04,Complete framework,Error Compensation,force error (%),18.968327772496448
PT_05,Complete framework,Error Compensation,force error (%),6.2273199421664
PT_06,Complete framework,Error Compensation,force error (%),12.37316854298114
PT_07,Complete framework,Error Compensation,force error (%),4.57573431544005
PT_08,Complete framework,Error Compensation,force error (%),9.15884161212792
PT_09,Complete framework,Error Compensation,force error (%),3.52288937817017
PT_10,Complete framework,Error Compensation,force error (%),8.88734772801399
PT_11,Complete framework,Error Compensation,force error (%),5.30683141822616
PT_12,Complete framework,Error Compensation,force error (%),8.19826033380296
PT_13,Complete framework,Error Compensation,force error (%),7.877720201181041
PT_01,Complete framework,Error Compensation,position error (cm),3.3350003295502604
PT_02,Complete framework,Error Compensation,position error (cm),5.799023071688776
PT_03,Complete framework,Error Compensation,position error (cm),6.357899644898062
PT_05,Complete framework,Error Compensation,position error (cm),2.784859739936923
PT_06,Complete framework,Error Compensation,position error (cm),2.7374126355417805
PT_07,Complete framework,Error Compensation,position error (cm),4.461758674925092
PT_08,Complete framework,Error Compensation,position error (cm),3.5379319644200065
PT_09,Complete framework,Error Compensation,position error (cm),3.154133776863269
PT_10,Complete framework,Error Compensation,position error (cm),3.475583329579844
PT_11,Complete framework,Error Compensation,position error (cm),4.449820812752781
PT_12,Complete framework,Error Compensation,position error (cm),3.4831710692434363
PT_13,Complete framework,Error Compensation,position error (cm),4.043165856819717
PT_01,Complete framework,Error Compensation,torque error (%),11.23165852100341
PT_04,Complete framework,Error Compensation,torque error (%),22.36522816908357
PT_05,Complete framework,Error Compensation,torque error (%),7.52344521907313
PT_06,Complete framework,Error Compensation,torque error (%),10.9005515745634
PT_07,Complete framework,Error Compensation,torque error (%),3.08565828509421
PT_08,Complete framework,Error Compensation,torque error (%),7.68284833640791
PT_09,Complete framework,Error Compensation,torque error (%),8.731745988544489
PT_10,Complete framework,Error Compensation,torque error (%),15.8674801629968
PT_11,Complete framework,Error Compensation,torque error (%),6.742438580064721
PT_12,Complete framework,Error Compensation,torque error (%),9.65261993179511
PT_13,Complete framework,Error Compensation,torque error (%),8.62724860923157
PT_01,Complete framework,Gated Convergence,position error (cm),3.1062418418339504
PT_02,Complete framework,Gated Convergence,position error (cm),5.464452887429478
PT_03,Complete framework,Gated Convergence,position error (cm),6.200586550882334
PT_05,Complete framework,Gated Convergence,position error (cm),2.7463764356558387
PT_06,Complete framework,Gated Convergence,position error (cm),2.693149462236511
PT_07,Complete framework,Gated Convergence,position error (cm),4.305561791769938
PT_08,Complete framework,Gated Convergence,position error (cm),3.505598295100804
PT_09,Complete framework,Gated Convergence,position error (cm),3.112053829887805
PT_10,Complete framework,Gated Convergence,position error (cm),3.4268893344058484
PT_11,Complete framework,Gated Convergence,position error (cm),4.342171648927491
PT_12,Complete framework,Gated Convergence,position error (cm),3.432617636293356
PT_13,Complete framework,Gated Convergence,position error (cm),3.9454512579938905
PT_01,Proprioception only,Gated Convergence,position error (cm),12.419822254526792
PT_02,Proprioception only,Gated Convergence,position error (cm),9.333004530388678
PT_03,Proprioception only,Gated Convergence,position error (cm),15.263082835527658
PT_05,Proprioception only,Gated Convergence,position error (cm),14.75431828414842
PT_06,Proprioception only,Gated Convergence,position error (cm),15.066631172529332
PT_07,Proprioception only,Gated Convergence,position error (cm),18.571594659324823
PT_08,Proprioception only,Gated Convergence,position error (cm),14.316482546618293
PT_09,Proprioception only,Gated Convergence,position error (cm),14.689801851129111
PT_10,Proprioception only,Gated Convergence,position error (cm),14.628126913908863
PT_11,Proprioception only,Gated Convergence,position error (cm),16.311067879961932
PT_12,Proprioception only,Gated Convergence,position error (cm),14.529967701996773
PT_13,Proprioception only,Gated Convergence,position error (cm),17.503065806514506
PT_01,Tactile only,Error Compensation,force error (%),10.789550973119349
PT_04,Tactile only,Error Compensation,force error (%),25.42251469145832
PT_05,Tactile only,Error Compensation,force error (%),7.96284975406403
PT_06,Tactile only,Error Compensation,force error (%),26.27246069514917
PT_07,Tactile only,Error Compensation,force error (%),10.99672243102557
PT_08,Tactile only,Error Compensation,force error (%),15.82648022721211
PT_09,Tactile only,Error Compensation,force error (%),12.29293900645441
PT_10,Tactile only,Error Compensation,force error (%),18.49482654179964
PT_11,Tactile only,Error Compensation,force error (%),19.36013174553712
PT_12,Tactile only,Error Compensation,force error (%),20.39988402691152
PT_13,Tactile only,Error Compensation,force error (%),15.72009265629781
PT_01,Tactile only,Error Compensation,torque error (%),8.75880704964951
PT_04,Tactile only,Error Compensation,torque error (%),27.6320776876406
PT_05,Tactile only,Error Compensation,torque error (%),11.09846037152844
PT_06,Tactile only,Error Compensation,torque error (%),22.120389800208308
PT_07,Tactile only,Error Compensation,torque error (%),8.5439838311221
PT_08,Tactile only,Error Compensation,torque error (%),12.36052938659365
PT_09,Tactile only,Error Compensation,torque error (%),18.18515471907125
PT_10,Tactile only,Error Compensation,torque error (%),26.55415655294847
PT_11,Tactile only,Error Compensation,torque error (%),17.247327514148
PT_12,Tactile only,Error Compensation,torque error (%),19.57229856479292
PT_13,Tactile only,Error Compensation,torque error (%),12.258237684662973
PT_01,Tactile only,Gated Convergence,position error (cm),9.640323064924038
PT_02,Tactile only,Gated Convergence,position error (cm),13.25936800923057
PT_03,Tactile only,Gated Convergence,position error (cm),16.93638759853739
PT_05,Tactile only,Gated Convergence,position error (cm),14.635450710638448
PT_06,Tactile only,Gated Convergence,position error (cm),14.775763588725283
PT_07,Tactile only,Gated Convergence,position error (cm),18.36088717170779
PT_08,Tactile only,Gated Convergence,position error (cm),14.82467690969479
PT_09,Tactile only,Gated Convergence,position error (cm),13.540332711457472
PT_10,Tactile only,Gated Convergence,position error (cm),14.584580772466968
PT_11,Tactile only,Gated Convergence,position error (cm),16.737015439278654
PT_12,Tactile only,Gated Convergence,position error (cm),14.830665949438128
PT_13,Tactile only,Gated Convergence,position error (cm),16.730963918785978
